# pxsec-ptHge20        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.18230242              0     0.18216782              0     0.18243702              0
      0.3536306     0.18230242              0     0.18216782              0     0.18243702              0
      0.4913681     0.18230242              0     0.18216782              0     0.18243702              0
      0.6827538     0.18230242              0     0.18216782              0     0.18243702              0
      0.9486833     0.18230242              0     0.18216782              0     0.18243702              0
       1.318191     0.18230242              0     0.18216782              0     0.18243702              0
       1.831621     0.18230242              0     0.18216782              0     0.18243702              0
       2.545029     0.18230242              0     0.18216782              0     0.18243702              0
       3.536306     0.18230242              0     0.18216782              0     0.18243702              0
       4.913681     0.18230242              0     0.18216782              0     0.18243702              0
       6.827538     0.18230242              0     0.18216782              0     0.18243702              0
       9.486833     0.18230242              0     0.18216782              0     0.18243702              0
